group_name,path,difference,difficulty
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000023.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000024.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000025.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000026.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000027.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000028.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000029.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000030.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000031.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000032.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000033.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000034.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000035.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000036.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000037.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000038.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000039.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000040.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000041.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000042.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000043.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000044.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000045.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000046.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000047.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000048.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000049.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000050.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000051.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000052.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000053.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000054.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000055.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000056.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000057.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000058.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000059.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000060.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000061.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000062.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000063.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000064.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000065.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000066.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000067.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000068.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000069.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000070.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000071.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000072.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000073.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000074.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000075.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000076.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000077.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000078.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000079.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000080.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000081.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000082.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000083.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000084.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000085.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000086.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000087.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000088.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000089.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000090.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000091.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000092.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000093.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000094.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000095.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000096.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000097.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000098.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000099.jpg,Animal species (Dogs vs Cats),easy
Dogs playing in a park,./data/VisDiffBench/easy/1_a/000100.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000001.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000002.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000003.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000004.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000005.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000006.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000007.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000008.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000009.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000010.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000011.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000012.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000013.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000014.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000015.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000016.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000017.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000018.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000019.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000020.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000021.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000022.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000023.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000024.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000025.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000026.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000027.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000028.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000029.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000030.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000031.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000032.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000033.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000034.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000035.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000036.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000037.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000038.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000039.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000040.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000041.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000042.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000043.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000044.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000045.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000046.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000047.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000048.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000049.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000050.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000051.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000052.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000053.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000054.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000055.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000056.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000057.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000058.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000059.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000060.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000061.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000062.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000063.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000064.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000065.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000066.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000067.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000068.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000069.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000070.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000071.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000072.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000073.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000074.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000075.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000076.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000077.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000078.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000079.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000080.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000081.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000082.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000083.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000084.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000085.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000086.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000087.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000088.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000089.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000090.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000091.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000092.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000093.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000094.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000095.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000096.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000097.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000098.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000099.jpg,Animal species (Dogs vs Cats),easy
Cats playing in a park,./data/VisDiffBench/easy/1_b/000100.jpg,Animal species (Dogs vs Cats),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000001.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000002.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000003.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000004.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000005.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000006.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000007.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000008.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000009.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000010.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000011.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000012.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000013.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000014.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000015.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000016.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000017.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000018.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000019.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000020.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000021.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000022.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000023.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000024.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000025.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000026.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000027.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000028.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000029.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000030.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000031.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000032.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000033.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000034.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000035.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000036.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000037.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000038.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000039.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000040.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000041.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000042.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000043.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000044.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000045.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000046.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000047.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000048.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000049.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000050.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000051.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000052.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000053.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000054.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000055.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000056.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000057.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000058.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000059.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000060.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000061.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000062.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000063.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000064.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000065.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000066.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000067.jpg,Activity (Soccer vs Swimming),easy
Children playing soccer,./data/VisDiffBench/easy/2_a/000068.jpg,Activity (Soccer vs Swimming),easy
